data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.015609321571509023,0.14123603086410352,0.12326287488830127,0.126169391994378,0.04963943773605726,0.05137952438911452,0.054046073801737426,0.029795211125730105,0.022005145956556726,0.049906096486890344,0.07882542599444196,0.040419866058440494,0.04077160777602824,0.04480640214103165,0.07296243140754392,0.0387172540348759,0.1764315598000745,0.3089783125989221,0.04622375853056449,0.00858462108098658,0.00858462108098658,0.22243327833249474,0.07296243140754392,0.04480640214103164,2.544865470322699e+18,0.029830072143489792,0.02204370893127258,0.014779746572009624,0.016300649335814356,0.040386671158742525
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.010767878764975793,0.03364549286741675,0.07010351775796025,0.04295355426848007,0.03192017123525095,0.03233002169717835,0.03479484387380707,0.023213136569337083,0.011589192787870014,0.040177100778161716,0.08030310042037153,0.024472120897463482,0.02622979682733016,0.039024697215974055,0.0742281692716244,0.019904280018821222,0.12486157704683887,0.138982284663307,0.044212080028445754,0.004401785581416688,0.004401785581416688,0.11383630535712724,0.0742281692716244,0.039024697215974055,2.544865470322699e+18,0.01767079752890163,0.01591140401250747,0.01688859308414709,0.019157204294833665,0.03839852949847655
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.012798969640352865,0.10532427395632003,0.10683629847892952,0.09599591512791546,0.047063316239276565,0.04625639675966923,0.050553034370154744,0.03017037992015801,0.01805294946156916,0.04553182905370984,0.08668053380460423,0.029854319618720645,0.039603628789542523,0.03773018514265986,0.06591188776541201,0.02767505523230101,0.13886020927189593,0.2541580610033057,0.03479005501702921,0.006135333317614397,0.006135333317614397,0.17349252929271236,0.06591188776541201,0.037730185142659856,2.544865470322699e+18,0.026217583924146547,0.0223631736840098,0.01818955636922465,0.022011743866331583,0.03503138153289046
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.010717139907664862,0.03545595960470246,0.07706408121692443,0.05165447374687606,0.03429333360195781,0.03557861145230433,0.03820844026990094,0.026339785109151966,0.01231455966682708,0.05029735181041552,0.09677046149345479,0.031015537360173154,0.031294154603547945,0.044102015531888215,0.07772750563801903,0.023959882388996333,0.14582734617292117,0.16031579482660613,0.042298423156244894,0.005278574366910012,0.005278574366910012,0.12736162266242082,0.07772750563801903,0.04410201553188821,2.544865470322699e+18,0.01966169163870731,0.01684549594222692,0.018721583848067037,0.01878423900103063,0.04420168925195946
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.012197614484852522,0.03675700328389147,0.059211805340283336,0.03364243415893279,0.0319009229673535,0.045625113137953734,0.030148568416243426,0.03412236981753768,0.010147679204721127,0.05433872183767095,0.09170548857636378,0.0356853562923576,0.03729873089040395,0.05264682492784542,0.07796312594483011,0.02027728904208416,0.17482126877207266,0.1498438868946438,0.060245535084906494,0.004480913792863169,0.004480913792863169,0.11371926803847919,0.07796312594483011,0.052646824927845434,2.544865470322699e+18,0.015183493573851544,0.018445699131695175,0.014501679408525306,0.021637422604965158,0.030448858048034034
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.019174192317198926,0.20678317977295377,0.17158457803546961,0.18471413147131288,0.0685797453317444,0.0696144836318067,0.07285410148829614,0.034079662588769245,0.030004215730100366,0.06323613840312826,0.09686705998189399,0.04536215356217842,0.05299416112820728,0.05865581632104765,0.08729438791328709,0.03730121040864068,0.20984117868281293,0.3566012994674261,0.05437758362441806,0.008238694168872837,0.008238694168872837,0.2282148443901699,0.08729438791328709,0.05865581632104766,2.544865470322699e+18,0.04133156554059818,0.02892708505800531,0.013538751401646837,0.0173748086344411,0.04390068714739046
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",0.009310605778670582,0.039966039611510636,0.07430827517818551,0.04147588819242196,0.03606368442162814,0.03734752544824422,0.03808062843123164,0.024830076228475557,0.010573285708425063,0.04171432971809913,0.07877546836609021,0.023790170209344787,0.029522552606170944,0.039242773912472516,0.06690582800955203,0.02310829273467927,0.11693875400502243,0.17977797973322082,0.044875720351090595,0.005118794530346305,0.005118794530346305,0.14136890190501747,0.06690582800955203,0.039242773912472516,2.544865470322699e+18,0.018113154927082487,0.019146553877994642,0.018526451200704702,0.020788910121713224,0.031161910648005466
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.009375567304474752,0.04007477189887387,0.059105854210091735,0.03370228894452673,0.02934092009276441,0.03859479465510466,0.029468795048911065,0.03030370731642805,0.009740250477256709,0.04316374667307752,0.07935654494009707,0.03091507804392576,0.035469406697705354,0.03809157800607817,0.05958744002190102,0.024616013330445434,0.1460930511774498,0.21153210490493898,0.029935807101630175,0.005424374390292722,0.005424374390292722,0.15175381235321372,0.05958744002190102,0.038091578006078174,2.544865470322699e+18,0.014697330718467634,0.016739199948194696,0.015012875358018507,0.01760682973818054,0.029724193914514713
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",0.009730199265212484,0.03723015846894442,0.06856694335468991,0.04064720264623287,0.032466368009539975,0.03807276149012747,0.03210490368718492,0.02611924389249736,0.0103104519914844,0.05872350078065743,0.11618067735532456,0.022696081940718392,0.030266713925749686,0.05173267275868658,0.08306492256560526,0.016076119952260808,0.11881367738217546,0.10788505059184378,0.05792702353646991,0.0035739360385324756,0.0035739360385324756,0.09301828391549688,0.08306492256560526,0.0517326727586866,2.544865470322699e+18,0.016979355113533198,0.017624151558003374,0.017117256824469334,0.018429338050875585,0.035538186833822316
Adult Dataset,nn keras,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",0.009696315434984263,0.0344121853401373,0.07488193512176634,0.04871211786756073,0.03277550732523621,0.032272869714805974,0.03605229934340429,0.020401997057780435,0.013321711195571757,0.042794173333768004,0.08083067762794777,0.024949564225487556,0.027345584150726868,0.0418372284093481,0.07382015101089458,0.02267250568316276,0.12983575318393098,0.16671326458024918,0.05771822379001303,0.005035451835320531,0.005035451835320531,0.13107929448742292,0.07382015101089458,0.04183722840934811,2.544865470322699e+18,0.01827100604295089,0.016152774480011362,0.01883194551923694,0.01736884645293904,0.040068404846228756
